German,Englisch
Essen,To eat
Trinken,To drink
Einkaufen gehen,Go shopping
Einkaufen,Shopping
Der Supermarkt,Supermarket
Der Laden,Shop/Store
Das Geschaft, Store/business
Gehen,To go
Die Kartoffel/n,Potato/s
Die Tomate/n,Tomato/s
Das Brot/e,Bread/s
Kaufen,To buy
Die Banane/n,Banana
Der Saft,Juice
Kosten,Cost
Alles,Everything/all
Brauchen,To need
Was kauft Philip?,What did Philip buy?
Die Orange,Orange
Die Orangen,Oranges
Die Milch,Milk
Das Bier,Beer
Das Kaffee,Coffee
Der Orangensaft,Orange juice
Das Obst,Fruit
Das Gemuse,Vegetables
Gesund,Healthy
Der Apfel/Äpfel,Apple/s
Die Birne/n,Pear
Die Erdbeetre/n,Strawberry/s
Die Traube/n,Grape/s
Der/Die Paprika/s,Pepper/s
Die Gurke/n,Cucumber/s
Die Zwibeln,Onion/s
Was is das?,What is that?
Ein/Eine,One/any/an
Messer,Knife
Nahrungsmittel,Food products
Ich habe Hunger,I'm hungry
Das Brotchen/,Bun/s
Der Kuchen/kuchen,Cake/s
Der Joghurt/s,Youghurt/s
Der Kase,Cheese
Das Ei/er,Egg/s
Der Reis,Rice
Das Fleisch,Meat
Der Fisch/e,Fish/s
Die Wurtst,Saugage
Negativartikel,Negative article
Der Stuck,Piece of
Mochetest du ein Stuck Kuchen Essen?,Nein danke Ich mochte kein Stuck Kuchen
Das is kein Kuchen,That is not a cake
Der Plural,Plural
Wie viele gibt es?,How many are there?
Was ist auf dem bild?,What is in the picture?
Die Getränke,Drinks
Hast du Durst?,Are you thirsty?
Bist du durstig?,Are you thirsty?
Was möchest du trinken?,What do you want to drink?
Der tee,Tea
Das Wasser,Water
Das Mineralwasser,Mineral 
Die Milch,Milk
Der Wein,Wine
Trinkgewohnheiten,Drinking habits
Prost,Cheers
Was möchtest du trinken?,What would you like to drink?
Was möchten Sie trinken?,What would you lke to drink?
Schmeckt gut,It taste good
Haben,Have
Ja/Nein Fragen,Yes/No Questions
Zwanzig,Twenty
Dreißig,thirty
Vierzig,Forty
Fünfzig,Fifty
Sechzig,Sixty
Siebzig,Seventy
Achtzig,Eighty
Neunzig,Ninety
Hundert-Ein hundert,A hundred
Zahlen,Numbers
Der Preis,Price
Der Euro,Euro
Wie viel kostet das?,How much does it cost?
Was kostet das?,How much does it cost?
Das kostet...-Das macht...,That cost 
Der Cent,Cent
Was kosten di Bananen?,How much do the bananas cost?
Wie viel kosten die Orangen?,Die Orangen kosten 2.30 pro Kilo 
Wie viel kostet das essen?,How much does the meal cost?
Das macht 37.29 Euro,That would be 37.29 Euro
Was trinkst-isst du gerne?,What do you like to drink-eat?
Gerne,Gladly-Fondly-With pleasure
Was drinkst du gerne?,What do you like to drink?
Ich thinke gerne Saft Bier und Wasser, I like to drink juice beer and water
Was triken Sie gern?,What do you like to drink?
Ich trinke gerne Mineralwasser und Wein, I like to drink mineral water and wine
Was isst du gerne?, What do you like to eat?
Ich esse gerne Gemüse und Fleisch,I like to eat vegetables and meat
Was essen Sie gerne?,What do you like to eat?
Ich esse gerne Obst Käse und Fisch, I like to eat fruits cheese and fish
Mmm schmeckt prima!,Mmm it tastes good!
Isst du gerne Gemüse?,Do you like vegetables?
Ja ich esse gern Gemüse,Yes I like to eat vegetables
Trinkst du gerne Wein?,Do you like to drink wine?
Nein ich trinke Wein nicht gerne,No I don't like to drink wine
Im restaurant,At the restaurant
