german,english
hallo,hello
Ich heiße Rambo,My name is Rambo
Wie heißen Sie?,What is your name?
Meine name ist X,My name is X
Wie heißt du?,What is your name?
Wie ist dein Name?,What is your name?
Wer bist du?,Who are you?
Woher kommst du?,Where are you from?
Ich komme aus...,I come from...
Deutschland,Germany
Den Vereinigten Staaten,The United Stated
Der Turkei,Turkey
Den Niederlanden,Netherlands
Der Schweiz,Switzerland
Den Vereiningten Arabischen Emiraten,United Arab Emirates
Wie gehts?,How's it going?
Gut,Good
Sehr gut,Very good
Schlecht,Bad
Sehr schlecht,Very bad
Soso,so-so
Und wie geht es dir?,And how are you?
Wie geht es ihnen?,How are you?
Nicht schlecht und die?,Not bad what about you?
Gut danke, Good thank you
Prima danke,Great thank you
Die W-Worter,The w-words
Wer?,Who?
Wer is das?,Who is that?
Wer kommt zur Party?,Who is coming to the party?
Wie?,How?
Wie gehts?,How are you?
Wie heist du?,How are you called?
Woher?,Where from?
Woher kommst du?,Where are you from?
Woher kommen Sie?,Whre are you from?
Wo?,Where?
Wo bist du?,Where are you?
Wo liegt Berlin?,Where is Berlin?
Was?,What?
Was ist das?,What is that?
Was machsts du?,What are you doing?
Wie bitter?,Excuse me?
Gift,Poison
Fahrt,Drive
Hell,Bright
Handy,Phone
Ich,I
Du,You
Wir,We
er,he
sie,she
es,it
ihr,You(plural)
sie,They
Sie,You(formal)
Meer,Ocean
Firma,Company
Schrieben,To write
Horen,To listen to
Antworten,To answer
Duzen,Address someone informally
siezen,Address someone formally
Du kannst mich duzen,You can say 'du' to me
Der Vogel,The bird
Das Kaninchen,The rabbit
Schwimmen,To swim
Haustier,Pet
Baum,Tree
Prasens,Present tense
Singen,To sing
Lernen,To learn
Sagen,To ask
Hausaufgaben,Homework
Mittagessen,Lunch
Wichtige Phrasen,Important Phrases
Danke,Thank you
Bitte,Please/You're welcome/Here you are
Danke schon/Danke sehr,Thanks a lot
Nichts zu danken,No need to thank
Gern geschehen,My pleasure
Tut mir leid,I'm sorry
Entschuldigung,Excuse me/I'm sorry
Entschuldigung konnen Sie mir bitte helfen?,Excuse me can you help me please?
Entschuldigen Sie,I'm sorry (polite)
Fehler,Mistake
Horverstehen,Listening comprehension
Ruhig,Calm
In Ordnung,Ok
Die Aussprache,The pronunciation
Meine Familie,My family
Die Schwester,Sister
Der Bruder,Brother
Die Eltern,Parents
Die Mutter,Mother
Der Vater,Father
Der Onkel,Auncle
Der Mann,Husband
Der Frau,Wife
Die Kinder,Kids
Die Tochter,Daughter
Die Geschwister,Siblings
Der Sohn,Son
Der Opa/Der Großvater,Grandfather
Die Oma/Die Großmutter,Grandmother
Die Großeltern,Granparents
Die Tante,Aunt
Der Sohn,Son
Die Cousine,Cousin (female)
Der Cousin,Cousin (male)
sondern,But
Naja,Well
Die Nomen,Nouns
Das Kind,Kid
Das Madchen,Girl
Die Freiheit,Freedom
Die Moglichkeit,Possibility
Die Freundschaft,Friendship
Die Rechnung, bill
Die Kultur,Culture
Die Lampe,Lamp
Die Philosophie,Philosophy
Das Bier,Beer
Das Fraulein,Miss
Das Publikum,Audience
Das Ultimatum,Ultimatum
Der Band,Volume (of a book)
Die Band,Band (music)
Das band,Ribbon
Die E-mail,Email
Mein,My (Masculine) 
Meine,My (Femenine) 
Sein,To be
Englisch,English
Deutsh,German
Portugiesisch,Portuguese
Fronzosisch,French
Spanisch,Spanish
Ein bisschen,A little bit
Japanisch,Japanese
Chinesisch,Chinese
Sprechen,To speak
Geben,To give
Essee,To eat
Tschechisch,Czech
Arabisch,Arabian
Koreanisch,Korean
Russisch,Russian
Turkisch,Turkish
Griechisch,Greek
Amerikanisch,American
Wie ist deine Telefonnummer?,What is your phone number?
Konnen Sie das bitter wiederholen?,Can you please repeat that?
Wie lautet deine Telefonnummer?,What is your phone number?
Wo wohnst du?,Where do you live?
Woher kommst du?,Where are you from?
Wo bist du geboren?,Where were you born?
Wo lebt Sie?,Where do you live?
Ich bin in (place) geboren,I was born in (place)
Ich wohne in...,I live in...
Verheiratet,Married
Kinder,Kids
Sind Sie verheiratet?,Are you married?
Bist du verheiratet?,Are you married?
Geschieden,Divorced
Ledig,Unmarried
Hast du kinder?,Do you have kids?
Die Sohne,Sons
Die Tochter,Daughters
Der Freund,Friend/Boyfriend
Der Freundin,Friend,Girlfriend
Haben Sie Kinder?,Do you have kids?
Ich habe keine Kinder,I don't have kids
Das Datum,Date
Die Stadt,City 
Die Postleitzahl,Postal code
Die Unterschrift,Sign
Die Straße,Street
Der Nachname,Last name
Der Vorname,First name
Der Mittelname,Middle name
Der Spitzname,Nickname
