German,Partizip II
abholen,hat abgeholt (to pick up / collect)
akzeptieren,hat akzeptiert (to accept)
anbieten,hat angeboten (to offer)
ändern,hat geändert (to change)
anmelden,hat angemeldet (to register)
anprobieren,hat anprobiert (to try on (clothes))
anziehen,hat angezogen (to put on (clothes))
arbeiten,hat gearbeitet (to work)
ärgern (sich),hat sich geärgert (to get annoyed)
atmen,hat geatmet (to breathe)
aufräumen,hat aufgeräumt (to tidy up)
ausfüllen,hat ausgefüllt (to fill out (a form))
ausgeben,hat ausgegeben (to spend (money))
aussehen,hat ausgesehen (to look like / appear)
beantworten,hat beantwortet (to answer)
bedienen,hat bedient (to serve)
beeilen (sich),hat sich beeilt (to hurry)
begegnen,ist begegnet (to encounter / meet)
behalten,hat behalten (to keep)
benehmen (sich),hat sich benommen (to behave)
beschädigen,hat beschädigt (to damage)
beschweren (sich),hat sich beschwert (to complain)
besorgen,hat besorgt (to get / arrange)
bestehen,hat bestanden (to pass (exam) / exist)
betreten,hat betreten (to enter)
bewegen (sich),hat sich bewegt (to move)
bezahlen,hat bezahlt (to pay)
blühen,hat geblüht (to bloom)
bohren,hat gebohrt (to drill)
brauchen,hat gebraucht (to need)
danken,hat gedankt (to thank)
dauern,hat gedauert (to last (time))
decken,hat gedeckt (to cover / set (table))
drehen,hat gedreht (to turn)
drucken,hat gedruckt (to print)
duschen (sich),hat sich geduscht (to shower)
einrichten,hat eingerichtet (to furnish / set up)
einschalten,hat eingeschaltet (to turn on)
einsteigen,ist eingestiegen (to get in / board)
enthalten,hat enthalten (to contain)
entscheiden,hat entschieden (to decide)
entspannen (sich),hat sich entspannt (to relax)
entwickeln,hat entwickelt (to develop)
erlauben,hat erlaubt (to allow)
erreichen,hat erreicht (to reach)
erschrecken,ist erschrocken (to get frightened)
erwarten,hat erwartet (to expect)
fahren,ist gefahren (to drive / travel)
faulenzen,hat gefaulenzt (to be lazy)
fehlen,hat gefehlt (to be missing)
