German,English
abholen,to pick up / collect
akzeptieren,to accept
anbieten,to offer
ändern,to change
anmelden,to register
anprobieren,to try on (clothes)
anziehen (sich),to put on (clothes)
arbeiten + an + Dativ,to work on
sich ärgern + über + Akkusativ,to get annoyed about
atmen,to breathe
aufräumen,to tidy up
ausfüllen,to fill out (a form)
ausgeben + für + Akkusativ,to spend (money) on
aussehen,to look like / appear
beantworten,to answer
bedienen,to serve
sich beeilen,to hurry
begegnen + Dativ,to encounter / meet
behalten,to keep
sich benehmen,to behave
beschädigen,to damage
sich beschweren + über + Akkusativ,to complain about
besorgen,to get / arrange
bestehen + aus + Dativ,to consist of
betreten,to enter
sich bewegen,to move
bezahlen,to pay
blühen,to bloom
bohren,to drill
brauchen,to need
danken + für + Akkusativ,to thank for
dauern,to last (time)
decken,to cover / set (table)
drehen,to turn
drucken,to print
sich duschen,to shower
einrichten,to furnish / set up
einschalten,to turn on
einsteigen + in + Akkusativ,to get in / board
enthalten,to contain
sich entscheiden + für + Akkusativ,to decide on / choose
sich entspannen,to relax
entwickeln,to develop
erlauben,to allow
erreichen,to reach
erschrecken + vor + Dativ,to get frightened of
erwarten,to expect
fahren,to drive / travel
faulenzen,to be lazy
fehlen + an + Dativ,to be lacking / missing in
