German,English
Wie ist das Wetter?,How is the weather?
Es regnet,It's raining
Der Regen,Rain
Es schneit,It's snowing
Der Schnee,Now
Die Sonne,The sun
Die Sonne scheint,The sun shines
Es ist sonnig,It's sunny
warm,warm
Heßs,hot
Kalt,cold
Wie ist das Wetter heute Morgen?,How is the weather today?
Es ist nicht so gut,It's not that great
Es regnet und es ist kalt,It's raining and cold
Es ist sehr heiß und sonnig,It's verz hot and sunny
Wie ist das Wetter im Sommer?,How is the weather in summer?
Wie ist der Frühling in Italien?,How is the spring in Italy?
Die Sonne scheint und es regnet nie,The sun is shining and it never rains
Wie ist das Wetter morgen?,How is the weather tomorrow?
Es schneit aber es ist warm,It's snowing but it's warm
Wettervorhersage,Weather forecast
die Wolke,Cloudy
wolkig,Cloudy
Der Wind,Wind
windig,windy
der Nebel,Fog
das Eis,ice
das Gewitter,Thunderstorm
der Regenbogen,rainbow
die Temperatur,temperature
das Grad,degree
Es is 20 Grad,it's 20 degrees
Norden,north
Süden,south
Westen,west
Osten,East
Der Urlaub,holiday
Urlaub machen,to go on holiday
Wo machen Sie gerne Urlaub?,Where do you like to spend your holidays?
In Spanien. Im Frühling ist es dort sehr warm und gemütlich,In Spain. In spring it's very  warm there und comfortable
gemütlich,comfortable
Wir buchen ein Hotel und besichtigen die Stadt,we book a hotel and visit the city
Wo machen Sie gerne Urlaub?,Where do you like to spend the holidays?
Wir gehen jeden Sommer ans Meer. An die Küste,Every summer we go to the seaside. To the coast.
Die Kinder gehen gern schwimmen schnorcheln und tauchen,The kids like to swim snorkel and dive 
Wo machen Sie am meisten Urlaub?,Where do you spend your holidays mostly?
Ich fahre jeden Winter in die Schweiz,Every winter I go to Switzerland
Ich gehe gerne Skifahren und Schlittschuhlaufen,I like to go skiin and ice skating
Dort gibt es immer viel Schnee und Eis,There there is always snow and ice
Für uns ist es am schönsten im Zelt zu schlafen,For us the best thing is to sleep in a tent
buchen,to book
das Hotel,hotel
Die Stadt,city
besichtigen,to visit or to sightsee
das Zelt,tent
das Meer,sea
ans Meer gehen,to go to the seaside
die Küste,coast
schwimen,to swimm
schnorchel,to snorkle
das Skifahren,skiing
Skifahren gehen,to go skiing
das schlittschuhlaufen,ice skating
das Land,countryside
aufs Land gehen,to go to the countryside
die Natur,nature
spazieren gehen,to go for a walk
wandern,hiking
Die Freizeit,Leisure time
Lesen,to read
Fahrrad fahren,biscicle
Freunde treffen,meet friends
Computerspiele spielen,to play computer games
tanzen,To dance
fußsball-basketball-handball spielen,to play any of those games
reisen,to travel
kochen,to cook
malen,to paint 
fotografie,photography
joggen,jogging
Musik hören,to listen to music
Musik spielen-machen,to play or make music
In meiner Freiyeit höre ich gerne Musik. Ich spiele auch einige Instrumente. Wie die Gitarre und das Klavier. Und tanze in einer Tanzgruppe,On my free time I like to listen to music. I play also some instruments.Like guitar or piano. Also I like to dance in a dance group.
Was sind deine Hobbys?,What are you hobbies? 
Was sind Ihre Hobbys?,What are you hobbies? 
Was machst du in deiner Freizeit?,What do you  do in your free time?
Was machen Sie in ihrer Freizeit?,What do you  do in your free time?
Hast du einen Helm?,Do you have a helmet?
Gespräch,conversation
ich bin nicht sicher,I'm not sure
Was nimmst du zum Schwimmbad mit?,What are you taking to the swimming pool?
Schwimmbad,swimming pool
Ich nehme miene Badehose mit,I'm taking my swimming trunks
Ich neheme meinen Badeanzug und mein Handtuch mit,I'm taking my swim suit and my towel
Was noch?,What else?
Welche Sachen brauchen wir zum Skilaufen?,Which things do we need for skiing?
Ja. Ich habe alles was ich brauche,Yes. I have everything I need
Hast du...?,Do you have...?
Brauchen wir...?,Do we need...?
Was brauchen wir noch?,What else do we need?
mitnehmen, to take or take along
Die Tennisschuhe,tennis shoes
Das Fahrrad,Bike
Der Helm,Helm
Das Schwimmbad,Swimming pool
Die Badehose,Swim trunks
Der Badeanzug,Swim suit
Die Jacke,Jacket 
Die Mütze,Cap
Der Akkusativ,the accusative
Lieblingssachen,Favorite things
Lieben,to love
der Lieblingsfilm,
das Lieblingsbuch, favorite book
die Lieblingsmusik, favorite music
das Lieblingslied, favorite song
das Lieblingsessen, favorite food
das Lieblingsgetränk, favorite drink
die Lieblingsfarbe, favorite color
Wie findest du...?,How do you like...?
Wie findest du dieses Kleid?,How do you like this dress?
Das Kleid?Nicht so toll,The dress? Not so great
Wie findest du diesen Rucksack?,How do you like this backpack?
Der gefällt mir,I like it
Schau mal die Jacke hier,Look this jacket here
Die Jacke ist sehr modern,This jacket is very modern
Magst du diese Tasche?,Do you like this bag?
Die Tasche finde ich sehr schön,I find the bag very pretty
Wie findest du es?,How do you like it?
Sonnenbrille,sunglasses
Ich finde ihn sehr schön,I find it very beautiful
Die finde ich langweilig,I find them boring
Zustimmen,Agreeing
Widersprechen,Disagreeing
Du hasta ein großes Zelt. Ist das rightig?,You have a big tent. is that correct?
Sollen,should
Die Fahrräder,Bikes
Der Ausflug,excursion
Denken,to think
Werden,will (as future)
Ich glaube,I think
was denkst du...?,
Stimmt das?,Is that right?
Ist das richtig?,Is that right?
Denkst du wir sollen?,Do you think we should...
Ja?,Yes?
Das stimmt,That's right
Das ist richtig,That is correct
Natürlich,Of course 
Genau,Exactly
Unsinn,Nonsense
Ich glaube das ist eine schlechte Idee
Die Idee,idea
Quatsch,Rubbish
Es wird den ganzen Tag regnen,It will rain the whole day
Doch,On the contrary (only used after negative sentences)
